"Cultivar","Surface (ha)","FD+","Observed FD+ ha⁻¹","Estimated FD+ ha⁻¹ (95% CI)","Statistical group"
"Chasselas","15.69",146,"9.3","4.30 (95% CI: 2.26-8.19)","a"
"Pinot Noir","9.45",738,"78.09","28.27 (95% CI: 15.86-50.39)","b"
