"Parameter","Estimate","SE","z","P"
"Intercept (Chasselas)",-1.316,0.103,-12.814,"<0.001"
"Pinot Noir",2.255,0.142,15.886,"<0.001"
"Gamay",2.981,0.167,17.803,"<0.001"
"Sylvaner",-2.176,0.477,-4.563,"<0.001"
"Arvine",-0.614,0.358,-1.713,"0.087"
