"Cultivar","Infected / exposed plants","Infection probability (%)","Lower 95% CI","Upper 95% CI","Delta P vs Merlot (percentage points)","Dunnett-adjusted p-value vs Merlot"
"Merlot","6 / 26",26.8020293366115,13.0423424640944,50.1710890869547,,
"Pinot Noir","16 / 40",45.7114157010968,31.0833616545698,63.2982013096896,18.9093863644853,0.45737336595641
"Chasselas","17 / 43",45.9019543481057,31.6155036921884,62.9623341422927,19.0999250114942,0.436056738767169
"Gamay","17 / 34",56.0630466706907,39.6858087530852,73.756214924637,29.2610173340792,0.112755633309715
"Gamaret","17 / 31",59.1901180198667,42.2458794768391,76.8503935225418,32.3880886832551,0.0661104006708618
"Chardonnay","14 / 25",62.4991726656397,43.5457922691288,81.4100998851476,35.6971433290282,0.0489490843276316
"Cabernet Sauvignon","20 / 31",69.5627457834307,52.771729285077,84.8339324372953,42.7607164468192,0.00409745999550537
