"Parameter","Estimate","SE","z","P"
"Intercept (Merlot)",-2.551,0.4098,-6.225,"<0.001"
"Pinot Noir",0.6719,0.4814,1.396,"0.163"
"Chasselas",0.6776,0.4775,1.419,"0.156"
"Gamay",0.9692,0.4791,2.023,"0.043"
"Gamaret",1.0552,0.4801,2.198,"0.028"
"Chardonnay",1.1454,0.4937,2.32,"0.020"
"Cabernet Sauvignon",1.3383,0.4725,2.832,"0.005"
