"Parameter","Estimate","SE","z","P"
"Intercept (Merlot)",-1.33834185670515,1.29780168251582,-1.03123757253168,0.302429425222341
"Chasselas",-0.975469317491066,1.50955099994193,-0.646198318260591,0.518150928532786
"Chardonnay",1.79439725224557,1.55116970018526,1.15680267093359,0.247352990367002
"Cabernet Sauvignon",0.741373521518231,1.47972158505705,0.501022306496697,0.61635542417794
"Gamaret",1.0368533285695,1.50955099994206,0.686862072635703,0.492169649343689
"Gamay",1.99996525898448,1.50955099994181,1.32487425669062,0.185212860527133
"Pinot Noir",0.151448777011336,1.52180736619934,0.0995190195389666,0.920726187453141
